Quantidade,DiaDaSemana,Turno,TipoFrete,TipoTransporte,OrdemViagem,PercAtraso,Atraso
4,7,3,0,3,5,.3,0
4,7,3,0,3,7,.4,1
4,7,3,0,3,8,.4,1
4,7,3,0,3,7,.4,1
4,7,3,0,3,8,.4,1
4,7,3,0,3,5,.2,0
6,2,3,0,3,1,0,0
5,2,3,0,3,1,.4,1
6,2,3,0,3,1,0,0
6,2,3,0,3,1,0,0
6,2,3,0,3,2,.2,0
5,2,3,0,3,1,0,0
5,2,3,0,3,3,.2,0
6,2,3,0,3,2,0,0
4,1,3,0,3,6,.2,0
4,1,3,0,3,6,.3,0
4,1,3,0,3,6,.3,0
6,2,3,0,3,3,.5,0
4,2,3,0,3,2,.1,0
4,1,3,0,3,9,.4,0
4,1,3,0,3,9,.4,0
4,1,3,0,3,9,.4,0
4,1,3,0,3,8,.3,0
4,1,3,0,3,8,.3,0
4,1,3,0,3,8,.3,0
4,1,3,0,3,7,.2,0
4,1,3,0,3,7,.2,0
4,1,3,0,3,7,.2,0
4,1,3,0,3,7,.2,0
4,1,3,0,3,7,.2,0
4,1,3,0,3,6,.3,0
4,1,3,0,3,6,.3,0
4,1,3,0,3,6,.2,0
4,1,3,0,3,6,.3,0
6,2,3,0,3,1,0,0
6,2,3,0,3,1,.2,0
6,2,3,0,3,1,.2,1
4,2,3,0,3,10,.4,0
4,2,3,0,3,10,.4,0
4,2,3,0,3,10,.4,0
4,2,3,0,3,9,.3,0
4,2,3,0,3,9,.3,0
4,2,3,0,3,8,.2,0
4,2,3,0,3,8,.2,0
4,2,3,0,3,8,.2,0
4,2,3,0,3,8,.2,0
4,2,3,0,3,7,.3,0
4,2,3,0,3,8,.2,0
4,2,3,0,3,7,.3,0
4,2,3,0,3,7,.2,1
4,2,3,0,3,7,.3,1
4,2,3,0,3,7,.2,0
4,2,3,0,3,7,.3,0
4,2,3,0,3,7,.3,1
4,2,3,0,3,11,.4,1
4,2,3,0,3,11,.4,1
4,2,3,0,3,11,.4,1
4,2,3,0,3,10,.3,0
4,2,3,0,3,9,.3,0
4,2,3,0,3,10,.3,0
4,2,3,0,3,9,.2,0
4,2,3,0,3,9,.2,0
4,2,3,0,3,9,.2,0
4,3,3,0,3,10,.2,0
4,2,3,0,3,9,.2,0
4,2,3,0,3,9,.2,1
4,2,3,0,3,8,.3,1
4,2,3,0,3,8,.3,1
4,2,3,0,3,8,.2,1
4,2,3,0,3,8,.3,1
4,2,3,0,3,8,.2,1
4,2,3,0,3,8,.3,1
4,3,3,0,3,8,.3,0
4,3,3,0,3,12,.4,0
4,3,3,0,3,12,.4,0
4,3,3,0,3,11,.3,0
4,3,3,0,3,11,.3,0
4,3,3,0,3,10,.2,0
4,3,3,0,3,10,.2,0
4,3,3,0,3,10,.2,0
4,3,3,0,3,10,.2,0
4,3,3,0,3,9,.3,0
4,3,3,0,3,9,.3,0
4,3,3,0,3,9,.2,0
4,3,3,0,3,9,.3,0
4,3,3,0,3,9,.2,0
4,3,3,0,3,9,.3,0
4,4,3,0,3,9,.3,0
4,2,3,0,3,10,.3,0
6,4,3,0,3,3,0,0
6,3,3,0,3,2,.1,0
6,2,3,0,3,1,0,0
6,3,3,0,3,1,0,0
6,2,3,0,3,2,.1,0
4,2,3,0,3,2,0,0
6,2,3,0,3,3,.1,0
5,2,3,0,3,3,0,0
5,2,3,0,3,2,0,0
6,2,3,0,3,2,0,0
4,3,3,0,3,12,.4,0
4,3,3,0,3,13,.4,0
4,4,3,0,3,14,.4,0
4,3,3,0,3,11,.2,1
4,4,3,0,3,12,.2,0
6,2,3,0,3,2,.3,0
6,3,3,0,3,2,.5,0
6,4,3,0,3,2,0,0
6,3,3,0,3,2,0,0
6,2,3,0,3,2,.3,0
6,3,3,0,3,3,.4,0
4,5,3,0,3,10,.3,0
4,3,3,0,3,11,.3,0
4,3,3,0,3,12,.3,0
4,3,3,0,3,12,.3,0
4,3,3,0,3,12,.3,0
4,3,3,0,3,11,.2,0
4,3,3,0,3,11,.2,1
4,3,3,0,3,11,.2,1
4,4,3,0,3,11,.2,0
4,4,3,0,3,10,.3,0
4,4,3,0,3,10,.3,0
4,4,3,0,3,10,.3,0
4,4,3,0,3,10,.3,0
4,4,3,0,3,13,.3,0
4,4,3,0,3,13,.3,0
4,4,3,0,3,13,.3,0
4,4,3,0,3,12,.2,0
4,4,3,0,3,12,.2,0
4,4,3,0,3,12,.2,0
4,5,3,0,3,12,.2,0
4,5,3,0,3,11,.3,0
4,4,3,0,3,11,.3,0
4,4,3,0,3,10,.2,0
4,5,3,0,3,11,.3,0
4,4,3,0,3,11,.3,0
4,3,3,0,3,13,.4,0
4,4,3,0,3,14,.4,0
4,3,3,0,3,13,.4,0
4,4,3,0,3,10,.2,0
4,4,3,0,3,14,.4,0
4,5,3,0,3,11,.2,0
6,4,3,0,3,3,.1,0
6,4,3,0,3,3,.1,0
4,4,3,0,3,2,.5,0
6,4,3,0,3,1,.3,0
6,4,3,0,3,1,0,0
6,4,3,0,3,2,.1,0
6,4,3,0,3,2,0,0
6,4,3,0,3,3,0,0
6,4,3,0,3,1,0,0
4,4,3,0,3,15,.4,0
5,4,3,0,3,2,.4,0
4,4,3,0,3,16,.4,1
4,4,3,0,3,13,.2,0
4,5,3,0,3,14,.2,0
4,4,3,0,3,11,.3,0
4,4,3,0,3,14,.3,0
4,5,3,0,3,15,.3,0
4,4,3,0,3,14,.3,0
4,5,3,0,3,15,.3,0
4,4,3,0,3,13,.2,1
4,5,3,0,3,14,.2,0
4,4,3,0,3,12,.3,0
4,5,3,0,3,12,.3,0
4,4,3,0,3,13,.2,1
4,5,3,0,3,14,.2,0
4,4,3,0,3,12,.3,0
4,4,3,0,3,13,.2,0
4,5,3,0,3,14,.2,0
4,4,3,0,3,14,.3,1
4,5,3,0,3,15,.3,0
4,5,3,0,3,12,.3,0
4,4,3,0,3,13,.2,0
4,4,3,0,3,15,.4,0
4,4,3,0,3,16,.4,1
4,4,3,0,3,15,.4,1
4,4,3,0,3,16,.4,1
4,4,3,0,3,12,.2,0
6,4,3,0,3,2,.3,0
6,5,3,0,3,2,0,0
6,5,3,0,3,1,0,0
6,5,3,0,3,2,0,0
6,6,3,0,3,1,0,0
4,5,3,0,3,3,.1,0
5,4,3,0,3,2,.1,0
5,4,3,0,3,3,0,0
6,4,3,0,3,2,.2,0
6,5,3,0,3,3,.1,0
4,5,3,0,3,17,.4,0
4,5,3,0,3,17,.4,0
4,5,3,0,3,17,.4,0
4,5,3,0,3,16,.3,0
4,5,3,0,3,16,.3,0
4,5,3,0,3,16,.3,0
4,5,3,0,3,15,.2,1
4,5,3,0,3,15,.2,0
4,5,3,0,3,15,.2,0
4,5,3,0,3,15,.2,0
4,5,3,0,3,14,.2,0
4,5,3,0,3,11,.2,0
4,5,3,0,3,18,.4,1
4,5,3,0,3,18,.4,1
4,5,3,0,3,18,.4,0
4,5,3,0,3,17,.3,1
4,5,3,0,3,17,.3,0
4,5,3,0,3,17,.3,0
4,5,3,0,3,16,.2,0
4,6,3,0,3,16,.2,0
4,5,3,0,3,16,.2,1
4,6,3,0,3,16,.2,0
4,6,3,0,3,15,.2,0
4,6,3,0,3,13,.3,0
4,6,3,0,3,13,.3,0
4,6,3,0,3,12,.2,0
4,6,3,0,3,13,.3,0
4,6,3,0,3,13,.2,0
4,6,3,0,3,13,.3,0
4,6,3,0,3,12,.3,0
6,5,3,0,3,2,.1,0
6,5,3,0,3,2,.2,0
